============================================================
TYPE     | TICKER     | SHARES | PRICE   
============================================================
BUY      | STOCK948   |     30 | $125.99  

BUY      | STOCK938   |     50 | $198.63  

BUY      | STOCK744   |     30 | $160.50  

BUY      | STOCK992   |     90 | $144.47  

SELL     | STOCK190   |     90 | $141.30  

BUY      | STOCK557   |     90 | $170.63  

BUY      | STOCK383   |     80 | $129.10  

SELL     | STOCK750   |     20 | $185.50  

BUY      | STOCK535   |    100 | $187.50  

SELL     | STOCK869   |     60 | $110.63  

BUY      | STOCK503   |     70 | $148.36  

BUY      | STOCK59    |     10 | $179.11  

SELL     | STOCK648   |    100 | $131.16  

SELL     | STOCK906   |     20 | $154.76  

BUY      | STOCK170   |     90 | $145.33  

BUY      | STOCK364   |    100 | $171.26  

SELL     | STOCK603   |     10 | $117.68  

SELL     | STOCK301   |     30 | $103.92  

SELL     | STOCK763   |     60 | $126.53  

BUY      | STOCK867   |     30 | $134.57  

BUY      | STOCK853   |     20 | $126.30  

SELL     | STOCK348   |     20 | $160.83  

SELL     | STOCK323   |     10 | $153.13  

BUY      | STOCK453   |     40 | $184.02  

SELL     | STOCK91    |     20 | $193.83  

SELL     | STOCK736   |     40 | $135.58  

BUY      | STOCK481   |     30 | $135.56  

BUY      | STOCK469   |     50 | $167.02  

BUY      | STOCK892   |     90 | $108.76  

SELL     | STOCK190   |     80 | $103.65  

SELL     | STOCK230   |     90 | $197.07  

BUY      | STOCK875   |     60 | $117.13  

BUY      | STOCK852   |     80 | $129.87  

SELL     | STOCK868   |     50 | $199.06  

SELL     | STOCK867   |     70 | $146.65  

BUY      | STOCK1002  |     90 | $158.32  

BUY      | STOCK426   |     90 | $135.21  

BUY      | STOCK565   |     80 | $132.67  

BUY      | STOCK367   |     20 | $148.97  

SELL     | STOCK618   |     90 | $115.02  

BUY      | STOCK465   |    100 | $170.78  

SELL     | STOCK62    |     10 | $180.34  

SELL     | STOCK489   |     50 | $198.11  

BUY      | STOCK42    |     10 | $148.47  

BUY      | STOCK525   |     10 | $161.65  

BUY      | STOCK734   |     70 | $186.66  

SELL     | STOCK767   |     60 | $193.16  

BUY      | STOCK410   |     80 | $102.13  

SELL     | STOCK493   |     10 | $111.53  

BUY      | STOCK46    |     20 | $178.29  

SELL     | STOCK532   |     10 | $176.69  

BUY      | STOCK483   |    100 | $198.18  

BUY      | STOCK506   |     50 | $129.62  

SELL     | STOCK156   |     10 | $175.83  

BUY      | STOCK342   |    100 | $131.87  

SELL     | STOCK431   |     60 | $182.76  

SELL     | STOCK919   |     30 | $130.85  

BUY      | STOCK987   |    100 | $135.16  

SELL     | STOCK212   |    100 | $140.82  
